Injection,Layers,TensorIndices,Bits,masked,non_critical,critical,accuracy,failure_rate,Parsed_Layers
19639,"['fc1', 'fc1']","['(2, 1)', '(3, 3)']","[7, 7]",5,374,33,0.9199,0.0801,"['fc1', 'fc1']"
19622,"['fc1', 'fc1']","['(2, 1)', '(3, 1)']","[7, 6]",12,370,30,0.9272,0.0728,"['fc1', 'fc1']"
28479,"['fc1', 'fc1']","['(3, 3)', '(4, 3)']","[7, 7]",15,369,28,0.932,0.068,"['fc1', 'fc1']"
22639,"['fc1', 'fc1']","['(2, 3)', '(3, 3)']","[6, 7]",16,369,27,0.9345,0.0655,"['fc1', 'fc1']"
19663,"['fc1', 'fc1']","['(2, 1)', '(4, 2)']","[7, 7]",13,372,27,0.9345,0.0655,"['fc1', 'fc1']"
25615,"['fc1', 'fc1']","['(3, 1)', '(4, 2)']","[6, 7]",6,380,26,0.9369,0.0631,"['fc1', 'fc1']"
19431,"['fc1', 'fc1']","['(2, 1)', '(3, 3)']","[6, 7]",6,381,25,0.9393,0.0607,"['fc1', 'fc1']"
25591,"['fc1', 'fc1']","['(3, 1)', '(3, 3)']","[6, 7]",47,343,22,0.9466,0.0534,"['fc1', 'fc1']"
21258,"['fc1', 'fc1']","['(2, 2)', '(3, 2)']","[7, 6]",12,378,22,0.9466,0.0534,"['fc1', 'fc1']"
19671,"['fc1', 'fc1']","['(2, 1)', '(4, 3)']","[7, 7]",24,366,22,0.9466,0.0534,"['fc1', 'fc1']"
19414,"['fc1', 'fc1']","['(2, 1)', '(3, 1)']","[6, 6]",12,378,22,0.9466,0.0534,"['fc1', 'fc1']"
25623,"['fc1', 'fc1']","['(3, 1)', '(4, 3)']","[6, 7]",10,380,22,0.9466,0.0534,"['fc1', 'fc1']"
14130,"['fc1', 'fc1']","['(1, 2)', '(3, 2)']","[6, 6]",18,372,22,0.9466,0.0534,"['fc1', 'fc1']"
12247,"['fc1', 'fc1']","['(1, 1)', '(3, 3)']","[6, 7]",5,386,21,0.949,0.051,"['fc1', 'fc1']"
27050,"['fc1', 'fc2']","['(3, 2)', '(0, 1)']","[6, 6]",16,375,21,0.949,0.051,"['fc1', 'fc2']"
28478,"['fc1', 'fc1']","['(3, 3)', '(4, 3)']","[7, 6]",17,374,21,0.949,0.051,"['fc1', 'fc1']"
19606,"['fc1', 'fc1']","['(2, 1)', '(2, 3)']","[7, 6]",59,332,21,0.949,0.051,"['fc1', 'fc1']"
19463,"['fc1', 'fc1']","['(2, 1)', '(4, 3)']","[6, 7]",25,367,20,0.9515,0.0485,"['fc1', 'fc1']"
16182,"['fc1', 'fc1']","['(1, 3)', '(3, 2)']","[7, 6]",9,383,20,0.9515,0.0485,"['fc1', 'fc1']"
28319,"['fc1', 'fc1']","['(3, 3)', '(4, 3)']","[6, 7]",16,376,20,0.9515,0.0485,"['fc1', 'fc1']"
19638,"['fc1', 'fc1']","['(2, 1)', '(3, 3)']","[7, 6]",9,383,20,0.9515,0.0485,"['fc1', 'fc1']"
27122,"['fc1', 'fc2']","['(3, 2)', '(1, 4)']","[6, 6]",6,386,20,0.9515,0.0485,"['fc1', 'fc2']"
21299,"['fc1', 'fc1']","['(2, 2)', '(4, 3)']","[7, 7]",45,348,19,0.9539,0.0461,"['fc1', 'fc1']"
21058,"['fc1', 'fc1']","['(2, 2)', '(3, 2)']","[6, 6]",14,379,19,0.9539,0.0461,"['fc1', 'fc1']"
26793,"['fc1', 'fc1']","['(3, 2)', '(3, 2)']","[5, 6]",56,337,19,0.9539,0.0461,"['fc1', 'fc1']"
26968,"['fc1', 'fc1']","['(3, 2)', '(3, 3)']","[6, 4]",77,317,18,0.9563,0.0437,"['fc1', 'fc1']"
27035,"['fc1', 'fc1']","['(3, 2)', '(5, 3)']","[6, 7]",64,330,18,0.9563,0.0437,"['fc1', 'fc1']"
27026,"['fc1', 'fc1']","['(3, 2)', '(5, 2)']","[6, 6]",73,321,18,0.9563,0.0437,"['fc1', 'fc1']"
13897,"['fc1', 'fc1']","['(1, 2)', '(3, 2)']","[5, 6]",23,371,18,0.9563,0.0437,"['fc1', 'fc1']"
28471,"['fc1', 'fc1']","['(3, 3)', '(4, 2)']","[7, 7]",1,393,18,0.9563,0.0437,"['fc1', 'fc1']"
27049,"['fc1', 'fc2']","['(3, 2)', '(0, 1)']","[6, 5]",16,378,18,0.9563,0.0437,"['fc1', 'fc2']"
26979,"['fc1', 'fc1']","['(3, 2)', '(4, 0)']","[6, 7]",7,387,18,0.9563,0.0437,"['fc1', 'fc1']"
28462,"['fc1', 'fc1']","['(3, 3)', '(4, 1)']","[7, 6]",5,389,18,0.9563,0.0437,"['fc1', 'fc1']"
10282,"['fc1', 'fc1']","['(1, 0)', '(3, 2)']","[6, 6]",15,379,18,0.9563,0.0437,"['fc1', 'fc1']"
27034,"['fc1', 'fc1']","['(3, 2)', '(5, 3)']","[6, 6]",64,330,18,0.9563,0.0437,"['fc1', 'fc1']"
19430,"['fc1', 'fc1']","['(2, 1)', '(3, 3)']","[6, 6]",9,385,18,0.9563,0.0437,"['fc1', 'fc1']"
19455,"['fc1', 'fc1']","['(2, 1)', '(4, 2)']","[6, 7]",13,381,18,0.9563,0.0437,"['fc1', 'fc1']"
22638,"['fc1', 'fc1']","['(2, 3)', '(3, 3)']","[6, 6]",17,377,18,0.9563,0.0437,"['fc1', 'fc1']"
27131,"['fc1', 'fc2']","['(3, 2)', '(1, 5)']","[6, 7]",69,325,18,0.9563,0.0437,"['fc1', 'fc2']"
27097,"['fc1', 'fc2']","['(3, 2)', '(1, 1)']","[6, 5]",17,377,18,0.9563,0.0437,"['fc1', 'fc2']"
